"bush_02022005" "bush_02032001" "bush_03022003" "bush_20012004" "bush_23012007" "bush_24092001" "bush_28012003" "bush_28012008" "bush_31012008" "obama_08092011" "obama_09092009" "obama_12012016" "obama_12022013" "obama_20012015" "obama_24012012" "obama_24022009" "obama_25012011" "obama_27012010" "obama_28012014"
"every" 0.253065991824022 0.227531285551763 0.277161862527716 0.171005130153905 0.142704245451302 0.552127314063008 0.274725274725275 0.0687639676809352 0.223671947809879 0.339136332805788 0.152155536770921 0.242350802787034 0.198859870078218 0.334541399498188 0.296774193548387 0.304785126485828 0.15700641109512 0.112163509471585 0.316163878276907
"years" 0.233599377068328 0.341296928327645 0.240206947524021 0.190005700171005 0.19621833749554 0.0974342318934719 0.238095238095238 0.171909919202338 0.205032618825722 0.0904363554148768 0.101437024513948 0.272644653135414 0.291661142781387 0.348480624477279 0.232258064516129 0.228588844864371 0.327096689781499 0.23678963110668 0.250296403635885
"country" 0.311465836091104 0.25028441410694 0.369549150036955 0.209006270188106 0.249732429539779 0.32478077297824 0.366300366300366 0.206291903042806 0.316868592730662 0.339136332805788 0.118343195266272 0.181763102090276 0.172345220734456 0.264845274602732 0.232258064516129 0.182871075891496 0.17009027868638 0.162013958125623 0.184428928994862
"economy" 0.214132762312634 0.068259385665529 0.184774575018477 0.266007980239407 0.124866214769889 0.0974342318934719 0.183150183150183 0.103145951521403 0.298229263746505 0.384354510513226 0.084530853761623 0.287791578309603 0.251889168765743 0.292723724560914 0.270967741935484 0.457177689728741 0.17009027868638 0.286640079760718 0.210775918851271
"these" 0.116799688534164 0.204778156996587 0.332594235033259 0.209006270188106 0.267570460221192 0.227346541084768 0.32967032967033 0.429774798005845 0.205032618825722 0.158263621976034 0.371935756551141 0.151469251741896 0.225374519421981 0.139392249790912 0.180645161290323 0.259067357512953 0.14392254350386 0.348953140578265 0.105387959425636
"work" 0.116799688534164 0.273037542662116 0.184774575018477 0.228006840205206 0.214056368176953 0.129912309191296 0.183150183150183 0.120336943441637 0.130475302889096 0.384354510513226 0.118343195266272 0.333232353832172 0.265146493437624 0.278784499581823 0.206451612903226 0.137153306918622 0.2616773518252 0.261714855433699 0.368857857989725
"one" 0.175199532801246 0.364050056882821 0.258684405025868 0.247007410222307 0.107028184088477 0.194868463786944 0.256410256410256 0.154718927282104 0.205032618825722 0.226090888537192 0.40574809805579 0.136322326567707 0.185602545406337 0.264845274602732 0.296774193548387 0.167631819567205 0.18317414627764 0.22432701894317 0.250296403635885
"world" 0.272532606579716 0.0227531285551763 0.461936437546194 0.228006840205206 0.178380306814128 0.552127314063008 0.457875457875458 0.223482894963039 0.503261882572227 0.180872710829754 0 0.348379279006362 0.10605859737505 0.250906049623641 0.193548387096774 0.152392563242914 0.1962580138689 0.0623130608175474 0.171255434066658
"make" 0.408798909869574 0.273037542662116 0.147819660014782 0.152004560136804 0.160542276132715 0.129912309191296 0.146520146520147 0.085954959601169 0.205032618825722 0.29391815509835 0.101437024513948 0.302938503483793 0.265146493437624 0.320602174519097 0.193548387096774 0.213349588540079 0.300928954598979 0.174476570289133 0.289816888420498
"must" 0.564531827915126 0.864618885096701 0.332594235033259 0.342010260307809 0.32108455226543 0.0974342318934719 0.32967032967033 0.49853876568678 0.372786579683131 0.0226090888537192 0.0676246830092984 0 0.225374519421981 0 0.0258064516129032 0.228588844864371 0.11775480832134 0.0747756729810568 0.0658674746410223
"jobs" 0.0778664590227759 0.0455062571103527 0.0369549150036955 0.114003420102603 0.0356760613628255 0 0.0366300366300366 0.085954959601169 0.111835973904939 0.859145376441329 0.0338123415046492 0.121175401393517 0.424234389500199 0.250906049623641 0.438709677419355 0.213349588540079 0.327096689781499 0.299102691924227 0.329337373205111
"year" 0.175199532801246 0.295790671217292 0.240206947524021 0.133003990119704 0.0713521227256511 0 0.238095238095238 0.412583806085611 0.205032618825722 0.158263621976034 0.169061707523246 0.257497727961224 0.225374519421981 0.209088374686367 0.245161290322581 0.152392563242914 0.20934188146016 0.348953140578265 0.197602423923067
"them" 0.272532606579716 0.318543799772469 0.277161862527716 0.304009120273608 0.267570460221192 0.292302695680416 0.274725274725275 0.446965789926079 0.0559179869524697 0.180872710829754 0.118343195266272 0.196910027264465 0.10605859737505 0.167270699749094 0.296774193548387 0.152392563242914 0.23550961664268 0.0872382851445663 0.184428928994862
"care" 0.116799688534164 0.341296928327645 0.16629711751663 0.209006270188106 0.107028184088477 0 0.183150183150183 0.103145951521403 0.0745573159366263 0.0904363554148768 0.963651732882502 0.227203877612845 0.172345220734456 0.12545302481182 0.0645161290322581 0.33526363913441 0.2616773518252 0.249252243270189 0.144908444210249
"when" 0.0973330737784699 0.227531285551763 0.147819660014782 0.190005700171005 0.267570460221192 0.032478077297824 0.146520146520147 0.206291903042806 0.0931966449207828 0.113045444268596 0.388841927303466 0.363526204180551 0.198859870078218 0.23696682464455 0.335483870967742 0.167631819567205 0.15700641109512 0.22432701894317 0.23712290870768
"government" 0.311465836091104 0.43230944254835 0.240206947524021 0.114003420102603 0.285408490902604 0.0974342318934719 0.238095238095238 0.206291903042806 0.205032618825722 0.29391815509835 0.371935756551141 0.0605877006967586 0.172345220734456 0.0696961248954558 0.154838709677419 0.152392563242914 0.340180557372759 0.211864406779661 0.105387959425636
"if" 0.136266303289858 0.136518771331058 0.110864745011086 0.114003420102603 0.0535140920442383 0.0974342318934719 0.10989010989011 0.13752793536187 0.0931966449207828 0.587836310196699 0.355029585798817 0.318085428657982 0.10605859737505 0.23696682464455 0.258064516129032 0.198110332215788 0.23550961664268 0.274177467597208 0.276643393492293
"that^s" 0 0.0910125142207053 0 0.0190005700171005 0.0356760613628255 0 0 0 0 0.406963599366946 0.202874049027895 0.590730081793396 0.238631844093862 0.418176749372735 0.309677419354839 0.228588844864371 0.314012822190239 0.324027916251246 0.316163878276907
"no" 0.136266303289858 0.136518771331058 0.295639320029564 0.152004560136804 0.124866214769889 0.259824618382592 0.293040293040293 0.085954959601169 0.130475302889096 0.135654533122315 0.253592561284869 0.151469251741896 0.212117194750099 0.153331474770003 0.438709677419355 0.198110332215788 0.23550961664268 0.186939182452642 0.144908444210249
"because" 0.272532606579716 0.204778156996587 0.0923872875092387 0.114003420102603 0.107028184088477 0.0974342318934719 0.10989010989011 0.0343819838404676 0.242311276794035 0.0904363554148768 0.287404902789518 0.257497727961224 0.185602545406337 0.153331474770003 0.32258064516129 0.350502895458702 0.22242574905142 0.249252243270189 0.197602423923067
"what" 0.058399844267082 0.136518771331058 0.0369549150036955 0.114003420102603 0.124866214769889 0.389736927573888 0.0366300366300366 0.0515729757607014 0.0745573159366263 0.27130906624463 0.338123415046492 0.212056952438655 0.238631844093862 0.264845274602732 0.141935483870968 0.152392563242914 0.405599895329059 0.311565304087737 0.263469898564089
"tax" 0.116799688534164 0.455062571103527 0.129342202512934 0.190005700171005 0.124866214769889 0 0.146520146520147 0.13752793536187 0.149114631873253 0.678272665611576 0.101437024513948 0.0454407755225689 0.198859870078218 0.0557568999163646 0.361290322580645 0.198110332215788 0.1962580138689 0.286640079760718 0.11856145435384
"help" 0.214132762312634 0.25028441410694 0.203252032520325 0.323009690290709 0.303246521584017 0.129912309191296 0.201465201465201 0.309437854564208 0.0931966449207828 0.180872710829754 0.118343195266272 0.0908815510451378 0.159087896062575 0.111513799832729 0.180645161290323 0.121914050594331 0.0915870731388198 0.137088733798604 0.421551837702543
"security" 0.564531827915126 0.341296928327645 0.184774575018477 0.152004560136804 0.178380306814128 0.16239038648912 0.183150183150183 0.171909919202338 0.167753960857409 0.0904363554148768 0.118343195266272 0.196910027264465 0.278403818109505 0.139392249790912 0.0903225806451613 0.0761962816214569 0.1308386759126 0.249252243270189 0.184428928994862
"energy" 0.0778664590227759 0.295790671217292 0.147819660014782 0.038001140034201 0.0535140920442383 0 0.146520146520147 0.085954959601169 0.130475302889096 0 0 0.196910027264465 0.304918467453268 0.0557568999163646 0.47741935483871 0.289545870161536 0.20934188146016 0.386340977068794 0.210775918851271
"tonight" 0.0973330737784699 0.182025028441411 0.203252032520325 0.247007410222307 0.214056368176953 0.422215004871712 0.201465201465201 0.13752793536187 0.205032618825722 0.180872710829754 0.101437024513948 0.0908815510451378 0.251889168765743 0.181209924728185 0.154838709677419 0.182871075891496 0.22242574905142 0.137088733798604 0.171255434066658
"time" 0.214132762312634 0.204778156996587 0.0923872875092387 0.0760022800684021 0.160542276132715 0.129912309191296 0.0915750915750916 0.13752793536187 0.0931966449207828 0.203481799683473 0.202874049027895 0.136322326567707 0.212117194750099 0.292723724560914 0.206451612903226 0.243828101188662 0.18317414627764 0.22432701894317 0.184428928994862
"education" 0.019466614755694 0.159271899886234 0.0369549150036955 0.038001140034201 0 0 0.0366300366300366 0.0687639676809352 0.0372786579683131 0.113045444268596 0 0.227203877612845 0.397719740156436 0.153331474770003 0.296774193548387 0.396220664431576 0.379432160146539 0.274177467597208 0.302990383348702
"need" 0.116799688534164 0.204778156996587 0.110864745011086 0.171005130153905 0.285408490902604 0.0649561545956479 0.10989010989011 0.103145951521403 0.149114631873253 0.226090888537192 0.101437024513948 0.227203877612845 0.238631844093862 0.306662949540006 0.167741935483871 0.137153306918622 0.20934188146016 0.174476570289133 0.171255434066658
"should" 0.136266303289858 0.364050056882821 0.147819660014782 0.152004560136804 0.0713521227256511 0.0649561545956479 0.146520146520147 0.103145951521403 0.0931966449207828 0.474790865928103 0.152155536770921 0.242350802787034 0.225374519421981 0.111513799832729 0.309677419354839 0.0609570252971655 0.11775480832134 0.22432701894317 0.11856145435384
"those" 0.116799688534164 0.227531285551763 0.184774575018477 0.133003990119704 0.124866214769889 0.129912309191296 0.183150183150183 0.103145951521403 0.111835973904939 0.0904363554148768 0.507185122569738 0.151469251741896 0.159087896062575 0.139392249790912 0.154838709677419 0.167631819567205 0.10467094073008 0.22432701894317 0.223949413779476
"it^s" 0.038933229511388 0.0910125142207053 0.0369549150036955 0.0190005700171005 0.0891901534070639 0.032478077297824 0 0.0171909919202338 0.0186393289841566 0.248699977390911 0.304311073541843 0.469554680399879 0.119315922046931 0.320602174519097 0.206451612903226 0.228588844864371 0.274761219416459 0.249252243270189 0.184428928994862
"also" 0.214132762312634 0.159271899886234 0.129342202512934 0.190005700171005 0.0891901534070639 0.0649561545956479 0.10989010989011 0.309437854564208 0.279589934762349 0.180872710829754 0.169061707523246 0.151469251741896 0.212117194750099 0.083635349874547 0.154838709677419 0.259067357512953 0.15700641109512 0.174476570289133 0.0790409695692267
"know" 0.058399844267082 0.0910125142207053 0.129342202512934 0.114003420102603 0.107028184088477 0.16239038648912 0.10989010989011 0.0687639676809352 0.149114631873253 0.180872710829754 0.169061707523246 0.136322326567707 0.172345220734456 0.223027599665459 0.154838709677419 0.380981408107284 0.20934188146016 0.249252243270189 0.171255434066658
"some" 0.136266303289858 0.136518771331058 0.0923872875092387 0.228006840205206 0.0891901534070639 0.129912309191296 0.0915750915750916 0.103145951521403 0.0559179869524697 0.29391815509835 0.355029585798817 0.196910027264465 0.0928012727031685 0.223027599665459 0.232258064516129 0.137153306918622 0.10467094073008 0.249252243270189 0.158081939138453
"nation" 0.233599377068328 0.204778156996587 0.240206947524021 0.152004560136804 0.107028184088477 0.16239038648912 0.238095238095238 0.309437854564208 0.279589934762349 0.158263621976034 0.084530853761623 0.0757346258709482 0.0928012727031685 0.111513799832729 0.116129032258065 0.167631819567205 0.20934188146016 0.162013958125623 0.0922144644974312
"up" 0.116799688534164 0.068259385665529 0.110864745011086 0.0760022800684021 0.160542276132715 0 0.10989010989011 0.206291903042806 0.0931966449207828 0.226090888537192 0.236686390532544 0.272644653135414 0.10605859737505 0.306662949540006 0.141935483870968 0.137153306918622 0.17009027868638 0.162013958125623 0.184428928994862
